,track_name,track_URI,artist_name,artist_info,artist_pop,artist_URI,genres,album,dance,acoustic,energy,instrumental,liveness,loudness,speech,tempo,valence,track_popularity,duration_ms,total_shazamed_count
10,"What Was I Made For? [From The Motion Picture ""Barbie""]",spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,Billie Eilish,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,['pop'],"What Was I Made For? [From The Motion Picture ""Barbie""]",0.444,0.959,0.0911,1.05E-06,0.098,-17.665,0.0307,78.403,0.142,97,222370,2064418
11,Columbia,spotify:track:6XbtvPmIpyCbjuT0e8cQtp,Quevedo,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,spotify:artist:52iwsT98xCoGgiGntTiR7K,['pop'],Columbia,0.668,0.369,0.712,2.13E-05,0.108,-5.927,0.0381,100.02,0.264,96,186000,527640
12,Slow Dancing,spotify:track:5h1BN75CEh8wdSwE1xrbSe,V,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,spotify:artist:3JsHnjpbhX4SnySpvpa9DK,['pop'],Layover,0.579,0.257,0.63,0.00462,0.0986,-7.758,0.058,155.96,0.552,91,187027,111646
13,fukumean,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,Gunna,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ,['pop'],a Gift & a Curse,0.847,0.119,0.622,0,0.285,-6.747,0.0903,130.001,0.22,96,125040,2189216
14,the grudge,spotify:track:3Nl5OkkmS5DaBZvuYofpAt,Olivia Rodrigo,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,spotify:artist:1McMsnEElThX1knmY4oliG,['pop'],GUTS,0.548,0.916,0.307,0,0.0828,-9.214,0.0781,127.923,0.317,88,189386,29780
15,making the bed,spotify:track:5CscrLqFBgPfZR8fGtikov,Olivia Rodrigo,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,spotify:artist:1McMsnEElThX1knmY4oliG,['pop'],GUTS,0.537,0.346,0.413,0,0.12,-7.736,0.0319,133.21,0.226,87,198867,9649
16,ballad of a homeschooled girl,spotify:track:5sp71CUt0jXRNqHblPGp7b,Olivia Rodrigo,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,spotify:artist:1McMsnEElThX1knmY4oliG,['pop'],GUTS,0.385,0.0557,0.873,0,0.353,-3.331,0.069,120.393,0.469,87,203369,12668
17,logical,spotify:track:53dtP2iUMvaF28JZcHnFuU,Olivia Rodrigo,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,spotify:artist:1McMsnEElThX1knmY4oliG,['pop'],GUTS,0.499,0.853,0.246,0,0.1,-8.082,0.0345,81.051,0.153,87,231907,9951
18,lacy,spotify:track:6QT6j7rKt7Vk3IuV2AUO9W,Olivia Rodrigo,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,spotify:artist:1McMsnEElThX1knmY4oliG,['pop'],GUTS,0.455,0.803,0.379,0,0.109,-7.628,0.0341,76.967,0.413,87,177212,8414
19,Daylight,spotify:track:1odExI7RdWc4BT515LTAwj,David Kushner,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,spotify:artist:33NVpKoXjItPwUJTMZIOiY,['pop'],Daylight,0.508,0.83,0.43,0.000441,0.093,-9.475,0.0335,130.09,0.324,95,212954,5626421
