,Date,Time,Vrms ph-n AN Avg,Vrms ph-n BN Avg,Vrms ph-n CN Avg,Vrms ph-n NG Avg,Current A Avg,Current B Avg,Current C Avg,Current Phi AN Avg,Current Phi BN Avg,Current Phi CN Avg,Active Power Total Avg,Apparent Power Total Avg,Reactive Power Total Avg,Cos Phi AN Avg,Cos Phi BN Avg,Cos Phi CN Avg,Cos Phi Total Avg
1536,2019-09-01,4:09:43 AM.135,251.1,251.06,251.46,0.7,747.2,679.1,628.3,-5.12,-132.76,-246.76,504000,517500,72000,1.0,0.97,0.99,0.99
1537,2019-09-01,4:10:13 AM.135,251.02,250.92,251.38,0.7,749.7,682.6,630.9,-5.04,-132.76,-246.86,505950,519300,72450,1.0,0.97,0.99,0.99
1538,2019-09-01,4:10:43 AM.135,251.12,251.08,251.42,0.7,746.9,679.1,627.5,-5.36,-133.14,-247.2,503250,517050,75000,1.0,0.97,0.99,0.99
1539,2019-09-01,4:11:13 AM.135,251.14,251.14,251.42,0.68,756.8,689.3,638.3,-5.62,-133.2,-247.3,510750,524850,77400,1.0,0.97,0.99,0.99
1540,2019-09-01,4:11:43 AM.135,251.14,251.16,251.44,0.68,749.3,679.6,630.8,-5.2,-132.72,-246.62,505350,518850,71700,1.0,0.98,0.99,0.99
1541,2019-09-01,4:12:13 AM.135,251.22,251.22,251.54,0.68,731.8,662.2,613.2,-4.4,-132.08,-245.64,492900,505800,63000,1.0,0.98,1.0,0.99
1542,2019-09-01,4:12:43 AM.135,251.2,251.2,251.54,0.68,728.4,659.8,612.4,-4.48,-132.24,-245.46,491100,504000,63000,1.0,0.98,1.0,0.99
1543,2019-09-01,4:13:13 AM.135,251.62,251.6,251.92,0.66,725.5,660.7,607.5,-4.28,-132.24,-245.56,490050,503100,62550,1.0,0.98,1.0,0.99
1544,2019-09-01,4:13:43 AM.135,251.82,251.76,252.04,0.68,727.9,665.3,607.5,-4.0,-132.1,-245.88,492300,505350,62400,1.0,0.98,0.99,0.99
1545,2019-09-01,4:14:13 AM.135,251.82,251.74,252.04,0.68,728.9,667.5,608.5,-4.0,-132.1,-245.82,493350,506400,62400,1.0,0.98,0.99,0.99
1546,2019-09-01,4:14:43 AM.135,251.6,251.54,251.88,0.68,732.3,669.0,612.6,-4.22,-132.08,-245.66,495150,508200,62850,1.0,0.98,1.0,0.99
1547,2019-09-01,4:15:13 AM.135,251.52,251.44,251.86,0.68,736.1,670.5,616.6,-4.66,-132.38,-245.76,497100,510300,65700,1.0,0.98,1.0,0.99
1548,2019-09-01,4:15:43 AM.135,251.5,251.44,251.82,0.68,737.0,671.2,615.7,-4.78,-132.56,-245.94,497250,510600,67050,1.0,0.98,0.99,0.99
1549,2019-09-01,4:16:13 AM.135,251.46,251.46,251.82,0.68,739.5,670.8,616.4,-4.82,-132.54,-245.82,497850,511350,66900,1.0,0.98,1.0,0.99
1550,2019-09-01,4:16:43 AM.135,251.46,251.42,251.8,0.68,737.4,667.3,611.6,-4.52,-132.32,-245.78,495600,508650,64950,1.0,0.98,1.0,0.99
1551,2019-09-01,4:17:13 AM.135,251.26,251.24,251.58,0.7,740.1,672.8,615.7,-4.36,-132.12,-245.94,498150,511350,64650,1.0,0.98,0.99,0.99
1552,2019-09-01,4:17:43 AM.135,251.3,251.24,251.56,0.7,738.4,672.2,612.4,-4.3,-132.28,-246.22,496950,510000,65550,1.0,0.98,0.99,0.99
1553,2019-09-01,4:18:13 AM.135,251.4,251.32,251.68,0.7,732.1,664.7,606.1,-4.26,-132.24,-245.94,492000,505200,63900,1.0,0.98,0.99,0.99
1554,2019-09-01,4:18:43 AM.135,251.3,251.18,251.58,0.7,736.2,668.8,610.7,-4.2,-132.12,-245.86,494850,508050,63600,1.0,0.98,0.99,0.99
1555,2019-09-01,4:19:13 AM.135,251.16,251.08,251.42,0.7,735.7,670.0,614.3,-4.24,-132.08,-245.92,495750,508800,63750,1.0,0.98,0.99,0.99
1556,2019-09-01,4:19:43 AM.135,251.26,251.22,251.52,0.7,731.5,668.8,616.7,-4.42,-132.22,-245.78,495150,508200,64050,1.0,0.98,1.0,0.99
