Track Name,Track_URI,Artist Name,Artist URI,Artist Info,Artist Pop,Album,Genres,dance,acoustic,energy,instrumental,liveness,loudness,speech,tempo,valence,track_popular,duration_ms
WHERE SHE GOES,spotify:track:7ro0hRteUMfnOioTFI5TG1,Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,WHERE SHE GOES,['pop'],0.652,0.143,0.8,0.629,0.112,-4.019,0.0614,143.978,0.234,94,231704
LADY GAGA,spotify:track:7mXuWTczZNxG5EDcjFEuJR,Peso Pluma,spotify:artist:12GqGscKJx3aE4t07u7eVZ,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,GÉNESIS,['pop'],0.646,0.216,0.736,0,0.415,-7.118,0.0449,140.098,0.873,94,212878
Classy 101,spotify:track:6XSqqQIy7Lm7SnwxS4NrGx,Feid,spotify:artist:2LRoIwlKmHjgvigdNGBHNo,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,Classy 101,['pop'],0.859,0.145,0.658,0,0.12,-4.79,0.159,100.065,0.672,94,195987
Flowers,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,Endless Summer Vacation,['pop'],0.707,0.0632,0.681,5.15E-06,0.0322,-4.325,0.0668,117.999,0.646,94,200455
I Wanna Be Yours,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,spotify:artist:7Ln80lUS6He07XvHI8qqHH,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,AM,['pop'],0.464,0.136,0.417,0.022,0.0974,-9.345,0.0256,67.528,0.479,94,183956
Sprinter,spotify:track:2FDTHlrBguDzQkp7PVj16Q,Dave,spotify:artist:6Ip8FS7vWT1uKkJSweANQK,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,Sprinter,['pop'],0.916,0.186,0.583,0,0.0798,-8.067,0.241,141.095,0.661,94,226383
Barbie World (with Aqua) [From Barbie The Album],spotify:track:741UUVE2kuITl0c6zuqqbO,Nicki Minaj,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,Barbie World (with Aqua) [From Barbie The Album],['pop'],0.77,0.519,0.58,0.000127,0.233,-8.393,0.247,144.072,0.753,93,109750
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,spotify:track:6WzRpISELf3YglGAh7TXcG,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,Popular (Music from the HBO Original Series),['pop'],0.855,0.0569,0.678,3.69E-05,0.412,-6.276,0.189,99.029,0.852,93,215467
Super Shy,spotify:track:5sdQOyqq2IDhvmx2lHOpwd,NewJeans,spotify:artist:6HvZYsbFfjnjFrWF950C9d,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,NewJeans 'Super Shy',['pop'],0.776,0.18,0.817,3.44E-05,0.146,-6.018,0.0748,149.921,0.515,93,154667
(It Goes Like) Nanana - Edit,spotify:track:23RoR84KodL5HWvUTneQ1w,Peggy Gou,spotify:artist:2mLA48B366zkELXYx7hcDN,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'followers': {'href': None, 'total': 86581288}, 'genres': ['pop'], 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a224073987b930f99adc706', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a224073987b930f99adc706', 'width': 160}], 'name': 'Taylor Swift', 'popularity': 100, 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}",100,(It Goes Like) Nanana [Edit],['pop'],0.671,0.12,0.876,0.188,0.0823,-5.681,0.0352,129.998,0.964,93,231545
